classes&carts:80&cart,8053,8053,8053,8053,8053,8053,8053,7996,7997,7997,7997,7997,7997,7997,7997,7997,7997,7997,7997,7997,7997,7997,7998,7998,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999,7999

classes&orders:80&orders,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097

classes&shipping:80&shipping,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431

classes_loaded&carts:80&cart,8053,8053,8053,8053,8053,8053,8053,8053,8054,8054,8054,8054,8054,8054,8054,8054,8054,8054,8054,8054,8054,8054,8055,8055,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056,8056

classes_loaded&orders:80&orders,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8096,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097,8097

classes_loaded&shipping:80&shipping,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7430,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431,7431

classes_unloaded&carts:80&cart,0,0,0,0,0,0,0,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57

classes_unloaded&orders:80&orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

classes_unloaded&shipping:80&shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

gauge_response_metrics&carts:80&cart,2,1,1,1,1,1,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1

gauge_response_metrics&orders:80&orders,2,2,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,1,0,2,1,1,1,1,2,0,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1

gauge_response_metrics&shipping:80&shipping,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1

gauge_response_prometheus&queue-master:80&queue-master,1,1,1,1,2,0,1,0,1,1,2,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,1

gc_g1_old_generation_count&carts:80&cart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

gc_g1_old_generation_count&orders:80&orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

gc_g1_old_generation_count&shipping:80&shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

gc_g1_old_generation_time&carts:80&cart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

gc_g1_old_generation_time&orders:80&orders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

gc_g1_old_generation_time&shipping:80&shipping,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

gc_g1_young_generation_count&carts:80&cart,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,63,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,67

gc_g1_young_generation_count&orders:80&orders,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,62,62,62,62,62,62,62,62,62,62,62,62,62,62,63,63,63,63,63,63,63,63,63,63,63,63

gc_g1_young_generation_count&shipping:80&shipping,57,57,57,57,58,58,58,58,58,58,58,58,58,58,58,59,59,59,59,59,59,59,59,59,59,59,59,59,60,60,60,60,60,60,60,60,60,60,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61

gc_g1_young_generation_time&carts:80&cart,3240,3240,3240,3240,3240,3240,3240,3245,3245,3245,3245,3245,3245,3245,3245,3245,3245,3259,3265,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3270,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3274,3279,3279

gc_g1_young_generation_time&orders:80&orders,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2952,2961,2961,2961,2961,2961,2961,2961,2961,2961,2961,2961,2961,2961,2961,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964,2964,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968,2968

